0,1,2,3,4,5,6
2021-08-24 17:27:05+00:00,1430220130353569793,"I thought I needed millions of dollars to be happy.

So I overworked on my startup trying to get rich.

But it didn’t happen and I burned out 😖

So I started focusing on doing what I love and connecting with others ❤️

It makes me way happier and the business runs better 🚀",96,5,9,3
2021-08-24 15:33:08+00:00,1430191450655006728,it's scary but we must do it from time to time 😅 https://t.co/m1itbSrU83,27,2,3,1
2021-08-24 13:27:16+00:00,1430159777573871622,"Went on a zoom call with a fellow founder to give him feedback on his idea.

Had no expectations, was just happy to make a friend 😀

But he loved the discussion so much that he wrote a piece about how useful my product is😳

Thanks so much @timfong888 🔥

https://t.co/KohmhUd6yL",18,6,1,1
2021-08-23 17:32:13+00:00,1429859033545121799,"Startups talk about their « unfair advantage ».

But I couldn't figure out mine 🤔

Then I thought of my cofounder:
✅ same work ethic
✅ complimentary skills
✅ support each other

Few startups have that.

Because my cofounder is actually my wife 😅

She's my unfair advantage ❤️",107,6,14,2
2021-08-23 15:34:08+00:00,1429829315089342467,Am I the only startup founder having a tough time when going to see my family? 😅 https://t.co/AAmHxxL7ca,416,32,24,9
2021-08-23 13:29:05+00:00,1429797844010115076,"I tried many shortcuts to grow my startup.

From product launches to running ads.

But none of them worked 😖

So I decided to take the long road and build an audience 🤷‍♂️

It was hard and seemed hopeless but I stuck with it 💪

And now it pays off better than any shortcut 🤩",55,3,8,0
2021-08-22 17:33:11+00:00,1429496889385361420,"I've worked on my startup for 2.5 years, focused on building a great product.

But because I didn't do marketing, I didn't get much sales.

The product is in good shape now though, and I finally found the right distribution channel.

I'm 100% focused on growth 🔥🚀",343,19,31,2
2021-08-22 15:34:13+00:00,1429466947725443073,"Hope: Become a millionaire in 18 months.
Reality: Maybe get a survival salary after 3 years. https://t.co/D2ZT0jYnsA",48,3,3,0
2021-08-22 13:27:14+00:00,1429434991348486145,"In the first year of my startup, we thought of raising money.

Everyone else is doing it, so why not us 😃?

Then I remembered my dream is not to reach $1B+ valuation.

It's to make money doing what I love.

Getting an investor would be like having a boss again.

No thank you 😅",59,6,3,0
2021-08-21 17:29:11+00:00,1429133492785487881,"My first tweets looked like startup lessons.

I tried to sound like a big account saying ""this is what you should do"".

But people didn't care 🤷‍♂️

So I started sharing my genuine experience with more humility.

People loved it and my engagement skyrocketed 🚀",128,4,12,0
2021-08-21 15:33:13+00:00,1429104307471884288,I thought building my startup would make me rich in 18 months. 3 years later I'm hoping to get a survival salary soon 😅 https://t.co/YoufdCyYgz,65,4,7,2
